wormbaseID	CDS	name	start	end
WBGene00000001	Y110A7A.10	aap-1	5107833	5110183
WBGene00000002	F27C8.1	aat-1	9598986	9601695
WBGene00000003	F07C3.7	aat-2	9244402	9246360
WBGene00000004	F52H2.2	aat-3	2552436	2557726
WBGene00000005	T13A10.10	aat-4	6272529	6275713
WBGene00000006	C55C2.5	aat-5	2571782	2576020
WBGene00000007	T11F9.4	aat-6	11466844	11470663
WBGene00000008	F54D12.3	aat-7	1386888	1391567
WBGene00000009	F28F9.4	aat-8	3862129	3865042
WBGene00000010	Y53H1C.1	aat-9	11388689	11396660
WBGene00000012	C50F2.9	abf-1	3886111	3887080
WBGene00000013	C50F2.10	abf-2	3885548	3885905
WBGene00000014	F54B8.5	abf-3	15817410	15817846
WBGene00000015	Y38H6C.22	abf-4	20557945	20558379
WBGene00000016	T22H6.5	abf-5	12792727	12793386
WBGene00000017	T22H6.7	abf-6	12794118	12794870
WBGene00000018	M79.1	abl-1	10605832	10624185
WBGene00000019	C24F3.5	abt-1	10206189	10214911
WBGene00000020	F12B6.1	abt-2	2255923	2272866
WBGene00000021	F55G11.9	abt-3	12950315	12957128
WBGene00000022	Y39D8C.1	abt-4	323774	330725
WBGene00000023	Y53C10A.9	abt-5	12011195	12018668
WBGene00000024	AC3.3	abu-1	10380340	10381826
WBGene00000025	F19G12.7	abu-2	1408836	1410652
WBGene00000026	F31A3.1	abu-3	17553419	17554449
WBGene00000027	Y5H2A.3	abu-4	2274842	2275977
WBGene00000028	Y105C5A.4	abu-5	15590697	15591772
WBGene00000029	C03A7.7	abu-6	5160671	5161892
WBGene00000030	C03A7.8	abu-7	5163396	5164759
WBGene00000031	C03A7.14	abu-8	5163269	5194608
WBGene00000032	R09F10.2	abu-9	8322111	8323418
WBGene00000033	F35A5.3	abu-10	3798179	3799741
WBGene00000034	T01D1.6	abu-11	192531	194558
WBGene00000035	W09B12.1	ace-1	16367229	16373789
WBGene00000036	Y44E3A.2	ace-2	3302001	3307587
WBGene00000037	Y48B6A.8	ace-3	14205633	14210214
WBGene00000038	Y48B6A.7	ace-4	14198046	14205325
WBGene00000039	C42D8.5	acn-1	5092458	5097067
WBGene00000040	ZK455.1	aco-1	11339874	11343568
WBGene00000041	F54H12.1	aco-2	7973717	7977355
WBGene00000042	K11G12.2	acr-2	6702463	6709142
WBGene00000043	K11G12.7	acr-3	6709538	6712925
WBGene00000044	K03F8.2	acr-5	6509699	6514768
WBGene00000045	ZK973.5	acr-6	4359207	4362548
WBGene00000046	T09A5.3	acr-7	7845662	7849797
WBGene00000047	ZC504.2	acr-8	10412725	10416630
WBGene00000048	C40C9.2	acr-9	13642348	13646898
WBGene00000049	R02E12.8	acr-10	4022273	4025584
WBGene00000050	D2092.3	acr-11	6621687	6624894
WBGene00000051	R01E6.4	acr-12	13532871	13536433
WBGene00000053	T05C12.2	acr-14	8174845	8177195
WBGene00000054	F25G6.4	acr-15	8552695	8555388
WBGene00000055	F25G6.3	acr-16	8561216	8564345
WBGene00000056	F53E10.2	acr-17	2608656	2615247
WBGene00000057	F28F8.1	acr-18	15551155	15559147
WBGene00000058	C31H5.3	acr-19	9031274	9036695
WBGene00000059	R06A4.10	acr-20	14373831	14377890
WBGene00000060	F27B3.2	acr-21	6581927	6586549
WBGene00000061	F48E3.7	lgc-11	7503823	7506633
WBGene00000062	F59B1.9	acr-23	3651686	3659499
WBGene00000063	T04C12.6	act-1	11079167	11082497
WBGene00000064	T04C12.5	act-2	11076723	11078168
WBGene00000065	T04C12.4	act-3	11071690	11074498
WBGene00000066	M03F4.2	act-4	4960553	4964416
WBGene00000067	T25C8.2	act-5	13604339	13606067
WBGene00000068	F17C8.1	acy-1	4722126	4730919
WBGene00000069	C10F3.3	acy-2	5976029	5981513
WBGene00000070	C44F1.5	acy-3	3774896	3786640
WBGene00000071	T01C2.1	acy-4	5624727	5630892
WBGene00000072	F39C12.2	add-1	4854069	4860036
WBGene00000073	F57F5.4	add-2	12009537	12013605
WBGene00000074	C04A11.4	adm-2	13687973	13695800
WBGene00000075	ZK154.7	adm-4	7795046	7798287
WBGene00000079	H15N14.1	adr-1	7773180	7777652
WBGene00000080	T20H4.4	adr-2	7230964	7232882
WBGene00000081	Y50D7A.7	ads-1	295651	298556
WBGene00000082	C02B4.1	adt-1	12678832	12689279
WBGene00000083	F08C6.1	adt-2	7585587	7595414
WBGene00000084	D2030.10	aex-1	7602307	7608245
WBGene00000085	T14B1.2	aex-2	9650999	9653116
WBGene00000086	C02H7.3	aex-3	751211	759732
WBGene00000088	F32A7.6	aex-5	14850054	14855827
WBGene00000089	Y87G2A.4	aex-6	13543079	13545188
WBGene00000090	B0334.8	age-1	11519323	11527062
WBGene00000092	F32A6.4	ags-3	5289728	5303512
WBGene00000093	Y62E10A.5	agt-1	13368368	13369417
WBGene00000094	F09E5.13	agt-2	5371980	5373433
WBGene00000095	C25A1.11	aha-1	10193925	10197000
WBGene00000096	C41G7.5	ahr-1	9522578	9531130
WBGene00000097	F58E10.4	aip-1	14012333	14013644
WBGene00000098	K07C11.2	air-1	8221410	8223587
WBGene00000099	B0207.4	air-2	5937477	5938885
WBGene00000100	C25A11.4	ajm-1	9078945	9113613
WBGene00000101	D1022.7	aka-1	7472729	7478959
WBGene00000102	C12D8.10	akt-1	10248907	10252895
WBGene00000103	F28H6.1	akt-2	14147700	14152070
WBGene00000105	F48F7.1	alg-1	13949114	13956261
WBGene00000106	T07D3.7	alg-2	873176	879001
WBGene00000107	F54D8.3	alh-1	5077765	5080665
WBGene00000108	K04F1.15	alh-2	1644169	1647728
WBGene00000109	F36H1.6	alh-3	11022603	11025870
WBGene00000110	T05H4.13	alh-4	6427212	6429927
WBGene00000111	T08B1.3	alh-5	1996100	1999581
WBGene00000112	F56D12.1	alh-6	1306240	1310133
WBGene00000113	F45H10.1	alh-7	13485792	13491786
WBGene00000114	F13D12.4	alh-8	11728949	11731226
WBGene00000115	F01F1.6	alh-9	5856018	5859186
WBGene00000116	C54D1.4	alh-10	7140504	7143641
WBGene00000117	F42G9.5	alh-11	774321	778871
WBGene00000118	Y69F12A.2	alh-12	7454012	7455980
WBGene00000120	C01F6.5	aly-1	9108931	9109753
WBGene00000121	F23B2.6	aly-2	9147468	9148579
WBGene00000122	M18.7	aly-3	12123155	12124807
WBGene00000123	F36A4.7	ama-1	4248020	4258173
WBGene00000133	C05E11.4	amt-1	4571448	4573914
WBGene00000134	F49E11.3	amt-2	13042391	13046858
WBGene00000135	M195.3	amt-3	8363196	8369159
WBGene00000136	C05E11.5	amt-4	4565302	4569393
WBGene00000137	R13G10.2	amx-1	3822403	3826261
WBGene00000138	B0019.1	amx-2	12759545	12764960
WBGene00000139	F25C8.2	amx-3	20898840	20903441
WBGene00000140	ZK973.6	anc-1	4318033	4359080
WBGene00000142	C08B6.9	aos-1	10127492	10130295
WBGene00000143	K06H7.6	apc-2	8080570	8083701
WBGene00000144	F15H10.3	apc-10	10425362	10426399
WBGene00000145	F35G12.9	apc-11	4593769	4594426
WBGene00000146	F46F3.4	ape-1	11675942	11685268
WBGene00000147	VF36H2L.1	aph-1	9232071	9233560
WBGene00000148	ZC434.6	aph-2	10340997	10345648
WBGene00000149	C42D8.8	apl-1	5112422	5116866
WBGene00000150	F55A12.7	apm-1	5342180	5344724
WBGene00000151	T05H10.2	apn-1	8047564	8049105
WBGene00000155	W03G9.4	app-1	4964667	4967089
WBGene00000156	K04G2.8	apr-1	8050043	8055489
WBGene00000157	F02E8.3	aps-2	4458272	4459264
WBGene00000158	Y105E8A.9	apg-1	14406028	14417942
WBGene00000159	F29G9.3	aps-1	6017970	6018886
WBGene00000160	Y71H2B.10	apb-1	2583953	2597034
WBGene00000161	T20B5.1	apa-2	9336819	9342970
WBGene00000162	W09G10.4	apd-3	3532527	3546431
WBGene00000163	R11A5.1	apb-3	7853750	7857850
WBGene00000164	F53H8.1	apm-3	954839	957762
WBGene00000165	Y48G8AL.14	aps-3	1154511	1156020
WBGene00000166	W04G3.4	apt-9	11068527	11071925
WBGene00000168	K08D9.3	apx-1	3210189	3223218
WBGene00000169	F32A5.5	aqp-1	7235834	7238349
WBGene00000170	C01G6.1	aqp-2	9258913	9261994
WBGene00000171	Y69E1A.7	aqp-3	10961355	10966459
WBGene00000172	F40F9.9	aqp-4	9737556	9739740
WBGene00000173	C35A5.1	aqp-5	10491743	10493268
WBGene00000174	C32C4.2	aqp-6	10648446	10651952
WBGene00000175	M02F4.8	aqp-7	3025505	3026976
WBGene00000176	K02G10.7	aqp-8	4702442	4704970
WBGene00000177	K07A1.16	aqp-9	9605896	9609025
WBGene00000178	ZK1321.3	aqp-10	9768357	9769847
WBGene00000179	ZK525.2	aqp-11	13673280	13674746
WBGene00000180	ZK1320.6	arc-1	9674978	9677210
WBGene00000181	F01G4.2	ard-1	11131279	11133785
WBGene00000182	B0336.2	arf-1.2	5714861	5717585
WBGene00000183	F57H12.1	arf-3	7982526	7983919
WBGene00000184	Y116A8C.12	arf-6	16947120	16949734
WBGene00000185	F31A9.3	arg-1	1786907	1788405
WBGene00000186	C01C7.1	ark-1	12622093	12631022
WBGene00000187	F54C9.10	arl-1	8581945	8583080
WBGene00000188	F19H8.3	arl-3	14606472	14608342
WBGene00000189	ZK632.8	arl-5	9823242	9824132
WBGene00000190	F45E4.1	arf-1.1	7634786	7635710
WBGene00000191	F20D1.5	arl-7	14980954	14981675
WBGene00000192	Y57G11C.13	arl-8	14798149	14799229
WBGene00000193	C38D4.8	arl-6	4813309	4814814
WBGene00000195	F53H8.2	arr-1	950782	954233
WBGene00000196	W02B12.6	aars-1	11460215	11464129
WBGene00000197	F28H1.3	aars-2	3983171	3986915
WBGene00000198	C15F1.6	art-1	6970668	6972235
WBGene00000199	Y71F9AL.16	arx-1	2883546	2893718
WBGene00000200	K07C5.1	arx-2	10335443	10338355
WBGene00000201	Y79H2A.6	arx-3	12052424	12058458
WBGene00000202	Y6D11A.1	exos-4.2	860198	861324
WBGene00000203	Y37D8A.1	arx-5	12816789	12818100
WBGene00000204	C35D10.16	arx-6	4878658	4879643
WBGene00000205	M01B12.3	arx-7	3069325	3070150
WBGene00000206	F35G12.10	asb-1	4594543	4595944
WBGene00000207	F02E8.1	asb-2	4469743	4471476
WBGene00000208	Y53F4B.15	trip-4	15039404	15048904
WBGene00000209	K07A12.3	asg-1	8692946	8693468
WBGene00000210	C53B7.4	asg-2	6841258	6842129
WBGene00000211	B0252.2	asm-1	6910031	6912697
WBGene00000212	ZK455.4	asm-2	11321079	11324251
WBGene00000213	W03G1.7	asm-3	520214	523809
WBGene00000214	Y39B6A.20	asp-1	19049461	19050825
