transcript	CDS_start
Y110A7A.10.1	5107844
Y110A7A.10.2	5107844
F27C8.1.2	9601694
F27C8.1.1	9601694
F07C3.7.1	9246352
F52H2.2a.1	2554238
F52H2.2b.1	2552436
T13A10.10a.1	6275713
C55C2.5a.1	2576006
T11F9.4a.1	11470598
T11F9.4b.1	11469164
F54D12.3.1	1386888
F28F9.4.1	3865030
Y53H1C.1b.1	11396658
Y53H1C.1a.1	11396658
C50F2.9.1	3887080
C50F2.10.1	3885888
F54B8.5.1	15817846
Y38H6C.22.1	20558370
T22H6.5.1	12792864
T22H6.7.1	12794177
M79.1a.1	10624034
M79.1b.1	10624034
M79.1c.1	10613990
C24F3.5b.1	10214211
C24F3.5a.1	10214911
F12B6.1a.1	2272866
F12B6.1b.1	2272755
Y39D8C.1.1	330724
Y53C10A.9.1	12011276
AC3.3.1	10381785
F19G12.7.1	1410652
Y5H2A.3.1	2274882
Y105C5A.4.1	15590697
C03A7.7.1	5161892
C03A7.8.1	5164759
C03A7.14.1	5194567
C03A7.14.2	5194567
R09F10.2.1	8322111
F35A5.3.1	3798223
T01D1.6.1	194534
W09B12.1.2	16367381
W09B12.1.1	16367381
Y44E3A.2.1	3307465
Y48B6A.8.1	14205682
Y48B6A.7.1	14198167
C42D8.5a.2	5097067
C42D8.5a.1	5097067
C42D8.5b.1	5097067
ZK455.1.2	11339876
ZK455.1.1	11339876
F54H12.1c.1	7974706
F54H12.1a.1	7973725
F54H12.1c.2	7974706
K11G12.2.1	6702692
K11G12.7.1	6709587
K03F8.2.1	6514765
ZK973.5.1	4359217
T09A5.3.1	7849724
ZC504.2.2	10412842
ZC504.2.1	10412842
C40C9.2.1	13646768
R02E12.8.1	4022279
D2092.3.1	6624894
R01E6.4b.1	13533655
R01E6.4a.1	13533043
T05C12.2.1	8177195
F25G6.4.1	8552720
F25G6.3.1	8561269
F53E10.2b.1	2608674
F53E10.2g.1	2608674
F53E10.2i.1	2615072
F53E10.2h.1	2614047
F28F8.1.1	15559147
C31H5.3a.1	9036660
C31H5.3b.1	9034012
R06A4.10c.1	14377877
R06A4.10b.1	14376843
R06A4.10a.1	14376843
F27B3.2c.1	6583511
F27B3.2b.1	6581927
F27B3.2d.1	6583511
F27B3.2a.1	6581927
F48E3.7.1	7506503
F59B1.9a.1	3659499
F59B1.9b.1	3659499
T04C12.6.3	11081073
T04C12.6.4	11081073
T04C12.6.1	11081073
T04C12.6.2	11081073
T04C12.5.1	11078127
T04C12.5.2	11078127
T04C12.5.3	11078127
T04C12.4.3	11073243
T04C12.4.2	11073243
T04C12.4.1	11073243
M03F4.2b.1	4962875
M03F4.2c.1	4962039
M03F4.2b.6	4962875
M03F4.2b.5	4962875
M03F4.2b.4	4962875
M03F4.2b.3	4962875
M03F4.2b.2	4962875
M03F4.2a.1	4960662
T25C8.2.2	13606066
T25C8.2.1	13606066
T25C8.2.3	13606066
F17C8.1.1	4722212
C10F3.3.1	5976029
C44F1.5.2	3786444
C44F1.5.1	3786444
T01C2.1.1	5630878
F39C12.2a.1	4860036
F39C12.2e.1	4860036
F39C12.2d.1	4860036
F39C12.2b.1	4860036
F39C12.2c.1	4860036
F57F5.4a.1	12013406
F57F5.4a.2	12013406
F57F5.4b.1	12011702
F57F5.4a.3	12013406
C04A11.4a.1	13687973
C04A11.4b.1	13687973
ZK154.7.1	7798282
H15N14.1g.1	7773438
H15N14.1d.1	7773438
H15N14.1f.1	7773438
H15N14.1e.1	7773438
H15N14.1c.1	7773438
T20H4.4.2	7232882
T20H4.4.1	7232882
Y50D7A.7.1	298531
C02B4.1.1	12679152
F08C6.1b.1	7593572
F08C6.1a.2	7586209
F08C6.1a.1	7586209
F08C6.1b.2	7593572
F08C6.1c.2	7586209
F08C6.1c.1	7586209
D2030.10a.2	7602324
D2030.10b.1	7602324
D2030.10a.1	7602324
T14B1.2.1	9653115
C02H7.3a.1	759701
C02H7.3b.1	759701
F32A7.6.1	14855731
Y87G2A.4.1	13545184
B0334.8b.1	11520646
B0334.8a.1	11527054
F32A6.4d.1	5295805
F32A6.4a.2	5298026
F32A6.4a.1	5298026
F32A6.4e.1	5295630
F32A6.4f.1	5291801
F32A6.4g.2	5290620
F32A6.4g.1	5290620
